,protein_name,num_sample,mol_id,Model,FF_unminimised_Minimized Vina score,FF_unminimised_Vina score,FF_unminimised_Minimized Glide score,FF_unminimised_Glide score,FF_unminimised_VALIDITY3D_BOND_LENGTH,FF_unminimised_VALIDITY3D_BOND_ANGLE,FF_unminimised_VALIDITY3D_BOND_TORSION,FF_minimised_Minimized Vina score,FF_minimised_Vina score,FF_minimised_Minimized Glide score,FF_minimised_Glide score,FF_minimised_VALIDITY3D_BOND_LENGTH,FF_minimised_VALIDITY3D_BOND_ANGLE,FF_minimised_VALIDITY3D_BOND_TORSION,easydock_redocking_rmsd,easydock_plif,easydock_redocking_score,glide_redocking_rmsd,glide_plif,glide_redocking_score,SMILES,MW,QED,logP,SAScore
0,GPCR_5HT2C,50,DiffSBDD_0,DiffSBDD,-8.145,-7.771,10000.0,10000.0,0.0002617194602917755,0.14965599761070333,0.7794327576043104,-8.401,-8.134,-8.575,-7.554,0.8498512281085302,0.7636786780522749,0.11231837798113216,9.039368064195637,0.0,-9.188,3.783206465220315,0.0,-7.926482927361221,CO[C@H](CNC[C@H](CC(=O)O)N1CCCC1)[C@@H](O)N(C)C[C@H]1C[C@@H](O)C2=C1C=C(CF)CC2,469.5980000000002,0.29788813654464125,1.1474000000000015,5.0359690308791505
1,GPCR_5HT2C,50,DiffSBDD_1,DiffSBDD,-7.529,-5.982,,,0.1025719862943244,0.44826426296997984,,,,,,,,,,,,10.951356932978213,0.0,-7.530640386243584,CO[C@@H]1C[C@@H](N(CCOCCN2C[C@@H]2[PH]2(CC[C@@H](C)O)OC3CC(=O)C=CC(O)=C32)C(C)=O)[C@@H](C)C1,526.6110000000002,0.22687040378690515,2.4399000000000006,5.700881399144455
2,GPCR_5HT2C,50,DiffSBDD_10,DiffSBDD,-10.302,-10.189,10000.0,10000.0,0.000618004602882117,0.12734786334107534,0.04929713389921369,-9.791,-9.024,-10.77,-9.868,0.8526592264437404,0.9096388045298602,0.7937326000424015,4.089814251419142,0.667,-11.69,2.1255256301126697,0.0,-8.946858316391843,Cc1ccc(S(=O)(=O)NS(=O)(=O)NC[C@@H](C)CCN(Cc2ccccc2)c2ccccc2F)c(Cl)c1,554.1090000000003,0.34074431678004263,4.633220000000003,3.181197103459585
3,GPCR_5HT2C,50,DiffSBDD_11,DiffSBDD,-6.091,-5.546,10000.0,10000.0,1.1611992741525245e-07,8.32004270849373e-10,9.199133522657113e-07,-4.863,-4.511,-0.8659,-0.4994,0.853646775153866,0.7329120757748192,0.08588609698825073,7.343681591170739,0.667,-6.116,5.0031933784995335,0.0,-1.5726727435370733,CCCCCC[S@](=O)CCCCCCCN,247.4479999999999,0.5380816458554809,3.2246000000000024,2.829143853959998
4,GPCR_5HT2C,50,DiffSBDD_12,DiffSBDD,-5.911,-4.636,-6.898,10000.0,0.2030398722139811,0.5496802533076098,0.10418838791741804,-8.468,-7.698,-7.058,-4.454,0.7392318488740144,0.7651372362816699,0.24459344795707003,3.0772879293299806,0.444,-10.211,6.460688853043528,0.0,-7.513423677032753,C=C(C[C@@H](C)[C@@H](C)N=C[C@H](CO)c1ccc(C)cc1)NC(=O)CC[C@H](C)[C@]12CC[C@](C(F)F)(CS1)C2,520.7300000000004,0.29103145369792316,6.523620000000008,6.127351657416561
5,GPCR_5HT2C,50,DiffSBDD_13,DiffSBDD,-6.464,-6.286,10000.0,10000.0,0.32082884512265386,0.6249547694208919,0.4040814158949828,-7.602,-7.404,-9.185,-9.03,0.8999866792659567,0.8538171400166851,0.15651535233362074,2.3642360409110714,0.667,-8.508,2.541765488435031,0.0,-7.3460484597339075,CC[C@H]([C@H](C)O[C@@H]1CCc2ccc(F)cc21)N(CNO)C[C@@H](CCCC[C@H](CC(O)O)OC)OC,500.6520000000004,0.13793033218414621,3.526200000000001,4.85749684087802
6,GPCR_5HT2C,50,DiffSBDD_14,DiffSBDD,-8.111,-7.6,-7.057,10000.0,0.09127220552164758,0.39643198218782705,0.024043013400710522,-8.372,-7.74,-7.9,-7.922,0.9277337182839283,0.9048613371615648,0.16425375038881532,7.545076429036357,0.556,-8.615,2.656501383436002,0.0,-6.535431522014366,C=C(C)CN1CCC(CC[C@@H](C)N[C@H](O)Cc2cncc(Cl)c2)CC1,365.9490000000002,0.5177914403064164,3.6423000000000023,3.5429287976566144
7,GPCR_5HT2C,50,DiffSBDD_15,DiffSBDD,-6.635,-5.638,-5.13,10000.0,0.008060879694924588,0.4521634317151029,,-5.947,-5.728,-5.586,-5.116,0.5126241495580759,0.9065364196436047,,7.050023069308198,0.333,-7.278,6.92531609763647,0.0,-6.738336569486873,O=S(=O)(C[C@@H]1CCNC1)N[C@@H]1C[C@H]2CCC[C@H]2O1,274.38599999999997,0.7800009254659084,0.4304000000000004,4.3090857278536205
8,GPCR_5HT2C,50,DiffSBDD_16,DiffSBDD,-7.706,-6.142,10000.0,10000.0,2.826268260808245e-06,0.03673256040404865,,-9.611,-9.176,-10.64,-10.26,0.6496859989920672,0.8785375380724314,,1.147596825406994,0.222,-13.487,9.802185129556655,0.0,-8.625644658120299,O=CC1=C(N[C@@]23CCC[C@H]4[C@@H]2[C@H]43)OC2C=CC(F)=CC2=C1CCC#C[C@H]1CC[C@H]2CCCCN2C(=O)[C@@H]1O,518.6290000000004,0.4272664266729393,3.8392000000000026,6.384664340408301
9,GPCR_5HT2C,50,DiffSBDD_17,DiffSBDD,10.849,20.125,10000.0,10000.0,1.4507764706160264e-05,0.5524000144624568,,1.212,3.987,-6.833,10000.0,0.8711476215252214,0.9308081277955129,,4.520335221288407,0.222,-10.47,7.188161551258679,0.0,-8.454538216262039,CC(C)C[C@@H]([C@@H](O)N[C@H](CO)C[C@@H]1C[C@@H](NC[C@H]2[C@@H](S)OC3=CC=CC=C[C@@H]32)CC[C@@H]2[C@H](C)N12)N1NCCN1,562.8250000000003,0.10833308967266171,1.4967000000000028,6.246460033526607
