,protein_name,num_sample,mol_id,Model,FF_unminimised_Minimized Vina score,FF_unminimised_Vina score,FF_unminimised_Minimized Glide score,FF_unminimised_Glide score,FF_unminimised_VALIDITY3D_BOND_LENGTH,FF_unminimised_VALIDITY3D_BOND_ANGLE,FF_unminimised_VALIDITY3D_BOND_TORSION,FF_minimised_Minimized Vina score,FF_minimised_Vina score,FF_minimised_Minimized Glide score,FF_minimised_Glide score,FF_minimised_VALIDITY3D_BOND_LENGTH,FF_minimised_VALIDITY3D_BOND_ANGLE,FF_minimised_VALIDITY3D_BOND_TORSION,easydock_redocking_rmsd,easydock_redocking_score,glide_redocking_rmsd,glide_redocking_score,SMILES,MW,QED,logP,SAScore
0,generic_title2,50,DiffSBDD_0_num_sample_50,DiffSBDD,-8.609,-7.677,-8.555,10000.0,0.12260852553835752,0.5589066410279866,0.7328236803162322,-9.291,-8.5,-7.843,-6.891,0.8340595620910508,0.8109415172697994,0.3109642173420711,1.867291613206143,-9.695,4.5075350220182955,-7.420581136523533,NC(=O)[C@@H]([C@@H]1CC[C@@H](C(F)F)S1)[C@H]1C[C@@H]2C[C@]2(CNC(=O)c2ccc(F)c(F)c2)N1CO,475.50800000000015,0.5009058674408396,2.1082,5.204293294303788
1,generic_title2,50,DiffSBDD_10_num_sample_50,DiffSBDD,-6.209,-4.79,10000.0,10000.0,6.845919370803802e-12,2.2938148210395867e-05,,-5.885,-4.51,10000.0,10000.0,0.719435527052793,0.5730493891861207,,10.816381639194592,-8.419,8.842958845457215,-5.781066961128085,CC[C@@]1(S(=O)(=O)S)[C@@H](O)[C@@]1(C)O[C@H]1NC(F)[C@@H](CC=CC(CN)=NC(=N)CCCNCO)[C@H]1C,523.6970000000005,0.035111751456717286,0.664670000000001,6.113785994107551
2,generic_title2,50,DiffSBDD_11_num_sample_50,DiffSBDD,-7.827,-7.827,10000.0,-7.294,0.18538531331851152,0.09670764273479719,,-7.743,-7.743,-9.555,-9.035,0.8524230245196106,0.9555927836545915,,2.6314653827489467,-10.274,12.075434953401471,-7.443450606336743,O=C1CC(F)(F)C(F)=CN1[C@H]1CCN2CC[C@H](COCCC[C@@]3(O)CCCO3)[C@@H](O)C[C@@H]2C1,476.53600000000023,0.5500098733752404,2.5646000000000004,5.040139302753142
3,generic_title2,50,DiffSBDD_12_num_sample_50,DiffSBDD,-9.616,-8.464,-7.007,10000.0,2.3669373319257606e-06,0.0017617353040119325,0.04895640776333864,-7.904,-7.07,-7.107,10000.0,0.8157603805812154,0.7858691728365221,0.15296542721335782,1.2868627271668989,-10.233,11.398012486860502,-4.9176126741668265,C[C@@H]1[C@H](CC[C@@H](C)O[C@H](CF)C(F)(F)F)CC[C@H]([C@H]2CC[C@@H](CO)CC2)[C@H]1C,410.5360000000002,0.48504132133937394,6.169200000000007,4.51803438549212
4,generic_title2,50,DiffSBDD_13_num_sample_50,DiffSBDD,-10.81,-9.365,-9.797,10000.0,0.41046260613490815,0.8188757957848193,0.04867577942251155,-11.302,-10.861,-10.08,-9.767,0.7362114297415879,0.8592366764722782,0.5468893960697687,0.8065789579356849,-11.066,1.2561592748142434,-7.597409795994573,Oc1ccc2cc(-c3ccc([C@H](O)N4[C@@H]5CCCC[C@@H]54)c(Cl)c3)sc2c1,385.91600000000017,0.581088122450103,5.545000000000004,3.8561110339289177
5,generic_title2,50,DiffSBDD_14_num_sample_50,DiffSBDD,-7.592,-1.002,10000.0,10000.0,0.1039477325943476,0.1956922791361694,0.04014991560266474,-6.672,-5.635,10000.0,-3.995,0.6326731337431136,0.5271180786298508,0.0217735719421358,6.824032634296191,-9.205,4.402057662611729,-6.839694950413517,C[C@H](CC(=O)NC[C@H]1O[C@H](NCc2ccc3c(c2)OCCO3)C[C@@H]1O)[C@@H]1[C@@H](C)SCC12CC2,476.63900000000024,0.531622471479226,2.697400000000001,5.1605700440622595
6,generic_title2,50,DiffSBDD_15_num_sample_50,DiffSBDD,6.935,10.097,10000.0,10000.0,0.033252884560005136,0.04711745882611708,0.06247229441627624,5.806,7.972,10000.0,10000.0,0.17362045079186,0.19448743503572896,0.11267310650193388,13.062503466506717,-8.17,13.47504134616069,-6.6422533175242275,CCC(=O)c1cccc([C@H]2C[C@@H](CC[C@H](CF)C(C)(C)CC[C@H]3CCN4C(=O)[C@@H]5CCCC(=O)[C@@H](C)[C@]5(O)[C@@H](O)[C@]34O)CO[C@H]2OC)c1,673.863,0.25838310469856973,5.192200000000007,5.739732703658365
7,generic_title2,50,DiffSBDD_16_num_sample_50,DiffSBDD,-1.906,5.189,-5.728,10000.0,1.197864301821229e-05,0.001036667665954822,0.022648918073894908,-3.552,-2.436,10000.0,10000.0,0.5495331047833905,0.7939290344488438,0.07445990736792447,4.239049709684526,-11.046,,,C[S@@]1(F)C[C@H](CCCCC[C@]23C[C@@H]2CC2C[C@@H]23)CC=C1c1ccc([C@H]2CNN[C@@H]2C(N)=O)cc1,485.71300000000036,0.4099267793411447,5.408200000000004,5.5172228401867285
8,generic_title2,50,DiffSBDD_17_num_sample_50,DiffSBDD,-6.727,-3.63,-3.838,10000.0,0.028888873953685102,0.3443471589852025,0.04237904187789156,-6.757,-5.651,-3.96,10000.0,0.907375056890504,0.8562105591525366,0.06893108529620087,10.138291388060948,-8.926,11.072407208407062,-6.608661435376802,C[C@@H]1O[C@H](C(=O)NCc2ccc(CCN[C@H](C)C3CCCC3)cn2)CS1,377.5540000000001,0.7293250842598695,2.8866000000000014,3.7831168620716085
9,generic_title2,50,DiffSBDD_18_num_sample_50,DiffSBDD,-5.972,-5.886,10000.0,10000.0,0.002493371933478251,0.04244869923588269,0.02613907472114605,-5.144,-5.144,-7.37,10000.0,0.5800011428415561,0.6520808553027325,0.15898628869128445,9.25202768566417,-9.525,10.093368404089121,-7.110072354172435,O[C@H]1CSCCC=C=C2C[C@@H](CC[C@@H]3CCCc4ccccc43)CON2C1,385.5730000000002,0.7661797242783156,4.677000000000004,5.175946713057636
10,generic_title2,50,DiffSBDD_19_num_sample_50,DiffSBDD,-3.993,-2.269,10000.0,10000.0,0.004127410803157807,0.9120414545746705,,-5.124,-4.495,10000.0,10000.0,0.8343077012326788,0.8129789059373189,,3.0648999356234485,-10.986,6.103929845280893,-5.6198173764130495,CC1(C)OC[C@H]2C[C@@]3(O)[C@H](COC4=CC=C(O)C5=C(CC=C([N+](=O)[O-])C5)O4)C[C@H](O)[C@H]3C[C@@H]3CC[C@@H]1C[C@]32O,545.6290000000005,0.3065506219458639,3.6193000000000026,6.721090335835944
11,generic_title2,50,DiffSBDD_1_num_sample_50,DiffSBDD,-4.768,-2.142,10000.0,10000.0,0.008753871877086577,0.1913187784311859,1.8464346201076617e-05,-7.173,-6.674,-8.751,10000.0,0.6868634255750987,0.7064337404054548,0.001349058548815226,4.4942880754971135,-8.682,12.743411084186894,-4.624629170464268,COc1c(OO)ccc2c1SC1CN3C4=C(CN([C@H]5CCC[C@@H](C)[C@H]5C)C=C4)[C@@H](O)CO[C@@H]3CC1=C2,512.6720000000003,0.4446640961111668,4.735700000000004,5.513442969199249
12,generic_title2,50,DiffSBDD_20_num_sample_50,DiffSBDD,-6.225,-4.887,10000.0,10000.0,0.000661795919977464,,,-6.693,-5.386,-6.932,10000.0,0.5159129361322159,,,,,4.911232677156023,-7.340549433858554,C=C1[C@@H](CC)[C@H]2CC[S@SP2H](C[C@H]3C[C@]34C[C@H]4NCc3ccn4c3ccn4C(F)(F)C(F)F)C[C@@H]12,483.61900000000014,0.2823906543803952,5.656700000000007,6.6862741727480115
13,generic_title2,50,DiffSBDD_21_num_sample_50,DiffSBDD,-3.938,-3.938,10000.0,10000.0,0.00019863457397476084,0.2009632537306994,0.0015021557254167929,-4.899,-4.811,-7.455,10000.0,0.571444006953961,0.9291613077289514,0.5207370948805399,1.4428176022399135,-11.061,5.425725743790782,-4.967190661018862,O=C([C@H]1CCCC[C@H](C(F)F)O1)N1O[C@@H]1CCc1ccc2c(c1)CCC[C@H](F)[C@@H]2O,427.46300000000025,0.5696471492477204,4.019800000000003,4.695619021957172
14,generic_title2,50,DiffSBDD_22_num_sample_50,DiffSBDD,-0.491,-0.491,10000.0,10000.0,0.005643229489601548,,,-2.246,-2.246,-6.081,10000.0,0.8199640865917744,,,8.411639170914707,-6.606,6.629420389021974,-4.417111979729588,CCC1=C[C@@H](O)[C@@H]2[C@@H](C[C@@H](C)S[C@@H]3C[C@H]4CC[C@@H](C3)[S@@H]2CC4=O)O1,370.58000000000015,0.6942500139454193,3.4453000000000022,7.466969880496661
15,generic_title2,50,DiffSBDD_23_num_sample_50,DiffSBDD,-7.629,-4.958,-5.328,10000.0,0.12779085248156913,0.3902534216300851,0.21735343079485495,-8.276,-7.55,-6.041,-6.323,0.7746277421491683,0.7238066984678406,0.08141344605085445,10.586883830541417,-9.506,3.9951270289328678,-6.507164857074346,C[C@H]1C[C@@H](CN2CCC(CCOc3ccccc3)CC2)C[C@@H](C(C)(C)C(=O)O)C1,401.5910000000002,0.6394591148996599,5.330700000000006,3.5129879489134135
16,generic_title2,50,DiffSBDD_24_num_sample_50,DiffSBDD,-4.443,-0.644,10000.0,10000.0,0.01373119783768034,0.20105297714019382,,-3.81,-2.326,10000.0,10000.0,0.5832810836471667,0.6486644691620695,,9.456335796702653,-8.2,8.723421815759153,-5.151810197745571,CC[C@H]1CCN(C[C@@H]2C[C@H](C)N3C[C@H](Cl)S[C@@H]3C2)C(=O)C2=C(O1)[C@H](OC)[C@@H](F)[C@@H](N1C[C@@H]1CC[C@@H]1[C@@H]3C[C@]13F)C2,600.216,0.29052201301474734,4.954100000000005,6.302516574492614
17,generic_title2,50,DiffSBDD_25_num_sample_50,DiffSBDD,4.706,6.07,10000.0,10000.0,0.0030800276385798578,0.6047093518747167,0.22994547683673772,0.489,0.489,10000.0,10000.0,0.8407574806667653,0.6567043753122055,0.03642594416387849,13.18858803515794,-9.114,12.68022068923663,-5.917513306697002,COc1cc(Cl)ccc1[C@H]1CN2CN(CCCN3C[C@@H]4[C@@H]5CSO[C@H]5[C@@H](C)[C@]4(F)COC3=O)C[C@H]2O1,542.0730000000003,0.5040259857021033,3.8008000000000033,5.380464380473804
18,generic_title2,50,DiffSBDD_26_num_sample_50,DiffSBDD,2.919,4.747,10000.0,10000.0,5.821086292643058e-05,0.2699820541769311,,-0.11,1.55,10000.0,10000.0,0.528430200500615,0.7974858995683751,,6.917475154478007,-9.502,13.094392991768721,-5.3571689095209205,CN1CC[C@H](C(C)(C)OCC[C@]23CCCC[C@]2(CCC[C@H]2[C@H](F)[C@@H](F)O[C@@]45C[C@H]4CC[C@H](F)[S@@H]2C5)C32CC2)O1,573.8060000000004,0.2957119962705745,7.200100000000009,4.551956945084864
19,generic_title2,50,DiffSBDD_27_num_sample_50,DiffSBDD,-2.602,-1.152,10000.0,10000.0,1.302765680958868e-26,,,-1.532,-1.532,10000.0,10000.0,0.4356221072809368,,,14.460678924398586,-7.563,,,CC[C@H]1O[C@]12CC[S@@H](O[S@@]1(O)CC[C@H]3[C@@H]4[C@@H](CC[C@@H]4[S@H]4CC[C@@H]5C(OCOF)[C@@H](CCF)NC(=O)[C@@H]5O[C@@H](C)[C@@H]34)C1)[C@@]2(C)O,687.934,0.14431488930332853,4.465100000000005,7.784401590372172
20,generic_title2,50,DiffSBDD_28_num_sample_50,DiffSBDD,-6.071,-5.243,10000.0,10000.0,0.00029103356463431267,0.0003126424526685795,0.24917311344907705,-7.569,-7.08,-5.859,10000.0,0.7713967859821471,0.6506163109642816,0.3941514598969042,11.538313029536319,-9.462,11.726856893284092,-6.769716948674117,CC(=O)[C@@H](CC[C@H]1C(=O)N[C@@H]([C@H](C[C@H]2CC[C@@H](C)C2)C(=O)O)N1C)NC(=O)N(CF)C1=NC=C(F)[C@@H]1F,529.5600000000002,0.37290926991944023,2.5073,5.471708003531618
21,generic_title2,50,DiffSBDD_29_num_sample_50,DiffSBDD,-4.249,-3.434,-7.185,10000.0,0.33180809992269134,0.3427436537309764,0.4052032209326929,-5.461,-5.114,-7.653,-7.989,0.8708158181368044,0.7431507881224113,0.03947313375759569,4.922808456912403,-8.496,2.76417204889407,-6.830612909691141,CCO[C@@H]1CCCC[C@H](C)[C@@H]1OCCN1CCN2c3nccc(C#N)c3CC2C1,398.55100000000016,0.686735275430781,3.0003800000000016,4.119576685766702
22,generic_title2,50,DiffSBDD_2_num_sample_50,DiffSBDD,-7.603,-7.603,-7.778,-7.126,0.05330462512254091,0.6372260777224097,,-6.767,-6.767,-7.577,-7.806,0.4892613700477565,0.8531281212163109,,0.5208539348306503,-11.607,10.137523777036582,-6.39808389091964,CCC[C@@H]1[C@H]2CCN(CC(=O)NC3=c4ccccc4=COC=C3O)C[C@H](O)N12,385.46400000000017,0.6169157435045709,-0.044399999999998,4.604742358358689
23,generic_title2,50,DiffSBDD_30_num_sample_50,DiffSBDD,-8.759,-8.381,-5.127,10000.0,0.0013059853694660927,0.4902675707453629,0.15337341231668825,-8.414,-8.211,-8.437,-7.786,0.915781498164912,0.9018048670219652,0.16428560462949598,1.128629257107931,-9.463,3.556508046067338,-5.3174076351206985,CCOc1cccc([C@H]2C=C[C@H](CCOc3ccc(F)cc3)CN2C(=O)O)c1,385.43500000000023,0.6888836355989333,4.900600000000004,3.327777358889888
24,generic_title2,50,DiffSBDD_31_num_sample_50,DiffSBDD,-6.534,-6.534,10000.0,10000.0,0.14600411464083868,0.04708991249012932,0.1879339390636725,-6.604,-6.604,-8.429,-8.192,0.7955180118216176,0.7717594325482875,0.09373096082071625,4.1052004644038,-10.91,11.45619456770896,-4.965677687754468,C=C1C[C@@H](O)[C@@](F)(CO)C1=C[C@@H]1CCN2CCN(C3(c4ccc(F)cc4)CC3)CC[C@@H]2C12CC2,470.6040000000003,0.7000195920947722,3.9390000000000027,5.341322630884554
25,generic_title2,50,DiffSBDD_32_num_sample_50,DiffSBDD,-8.13,-8.005,10000.0,10000.0,0.032613314284305604,0.3798318102679681,0.8238862247655475,-8.826,-8.639,-7.778,-7.763,0.8145974924651824,0.9105160649426737,0.21585441818838702,6.400035298932828,-7.442,11.897351104994586,-5.316751679356517,CCC(=O)ONC(C)(C)[C@@H](C1CC1)[C@@H]1C[C@]1(C)c1ccc([C@H](CF)C(O)(F)F)o1,417.4680000000001,0.5502899088836561,4.458000000000004,5.1783778346178515
26,generic_title2,50,DiffSBDD_33_num_sample_50,DiffSBDD,-5.585,-4.607,10000.0,10000.0,0.001285914107286744,0.2788371932806748,,-5.425,-5.425,-7.231,-6.446,0.7431672212844644,0.6438587309786457,,5.7013750123325515,-9.853,11.822362759744014,-5.7741442858024,C[C@@H]1C=C(NCCCN(C)C)C(OC2(C3=C(F)[C@@H]4O[C@@H](F)CCOC4=NCN3)CC2)CC1,454.5620000000003,0.5499587611333391,3.000700000000001,5.379972517630424
